Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Jaysean Paige (21604579),Jaysean Paige,21604579,PG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,2.25
PG,Justin Robinson (21604582),Justin Robinson,21604582,PG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,6.91
PG,Saben Lee (21604585),Saben Lee,21604585,PG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,13.61
PG,Bryce Alford (21604636),Bryce Alford,21604636,PG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,0
PF,Cheick Diallo (21604711),Cheick Diallo,21604711,PF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,9.17
PF,Isaiah Livers (21604714),Isaiah Livers,21604714,PF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,8.33
PF,Ersan Ilyasova (21604786),Ersan Ilyasova,21604786,PF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,0
PF,Jordan Bell (21604789),Jordan Bell,21604789,PF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,3.25
SG,Trayvon Palmer (21604840),Trayvon Palmer,21604840,SG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,2
SG,Chris Smith (21604843),Chris Smith,21604843,SG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,0
SG,Cassius Stanley (21604846),Cassius Stanley,21604846,SG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,10.53
SG,Matt Thomas (21604900),Matt Thomas,21604900,SG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,7.53
SF,Deividas Sirvydis (21604948),Deividas Sirvydis,21604948,SF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,6.83
SF,Patrick Williams (21604984),Patrick Williams,21604984,SF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,12.35
SF,Alfonzo McKinnie (21604987),Alfonzo McKinnie,21604987,SF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,6.98
SG,Dwayne Bacon (21604125),Dwayne Bacon,21604125,SG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,0
PG,Kemba Walker (21604128),Kemba Walker,21604128,PG/G/UTIL,3000,NYK@DAL 03/09/2022 08:30PM ET,NYK,22.95
